"name","code_2019","category_2019","code_2018","category_2018","code_2017","category_2017","code_2016","category_2016","code_2015","category_2015","code_2014","category_2014"
"Larus delawarensis",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus californicus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus marinus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus dominicanus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus glaucescens",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus occidentalis",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus livens",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus hyperboreus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus schistisagus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larus fuscus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Thalasseus maximus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Thalasseus elegans",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Thalasseus bengalensis",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Thalasseus sandvicensis","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sternula albifrons","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sternula saundersi","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sternula antillarum",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sternula lorata","EN","Endangered","EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Sternula nereis",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA,NA,NA
"Onychoprion lunatus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Onychoprion anaethetus","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Onychoprion fuscatus",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Sterna dougallii",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Sterna striata",NA,NA,"NT","Near Threatened",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sterna sumatrana",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sterna hirundinacea",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sterna hirundo",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sterna repressa","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sterna paradisaea",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sterna vittata",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sterna virgata",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Sterna forsteri",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Sterna trudeaui",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Chlidonias albostriatus",NA,NA,NA,NA,NA,NA,"EN","Endangered",NA,NA,NA,NA
"Chlidonias niger","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Larosterna inca",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Stercorarius pomarinus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Stercorarius parasiticus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Stercorarius longicaudus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Alle alle",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
